flat
 1.00000    -0.00108
 0.87914    -0.00095
 0.69541    -0.00075
 0.64292    -0.00069
 0.58941    -0.00063
 0.53566    -0.00058
 0.48233    -0.00052
 0.43010    -0.00046
 0.37957    -0.00041
 0.33122    -0.00036
 0.28551    -0.00031
 0.24281    -0.00026
 0.20345    -0.00022
 0.16769    -0.00018
 0.13555    -0.00015
 0.10689    -0.00012
 0.08166    -0.00009
 0.05972    -0.00006
 0.04099    -0.00004
 0.03333    -0.00004
 0.02568    -0.00003
 0.01981    -0.00002
 0.01394    -0.00002
 0.00985    -0.00001
 0.00577    -0.00001
 0.00341    -0.00000
 0.00107    -0.00000
 0.00072    -0.00000
 0.00035    -0.00000
 0.00000     0.00000
 0.00055    -0.00000
 0.00112    -0.00000
 0.00167    -0.00000
 0.00222    -0.00000
 0.00278    -0.00000
 0.00333    -0.00000
 0.00798    -0.00001
 0.01265    -0.00001
 0.02823    -0.00003
 0.04918    -0.00005
 0.07505    -0.00008
 0.10546    -0.00011
 0.14014    -0.00015
 0.17890    -0.00019
 0.22136    -0.00024
 0.26701    -0.00029
 0.31531    -0.00034
 0.36569    -0.00039
 0.41756    -0.00045
 0.47032    -0.00051
 0.52334    -0.00056
 0.57603    -0.00062
 0.62777    -0.00068
 0.88838    -0.00096
 1.00000    -0.00108
